"Category"	"Uniquely mapped"	"Mapped to multiple loci"	"Mapped to too many loci"	"Unmapped: too short"	"Unmapped: other"
"C10"	47681976	1653687	200765	1574450	35783
"C11"	71283941	2864253	226777	2579623	53903
"C12"	60560203	2342750	281894	1532873	58210
"C13"	59337236	2328409	214847	1922663	44713
"C14"	58750042	1755985	172131	1293599	37137
"C15"	65139243	3199794	206370	1586363	42116
"C16"	54462038	2368512	139490	1398660	34966
"C17"	57717438	2787883	293412	9171328	63057
"C18"	64053598	2982035	203697	2074286	48562
"C19"	58518370	4669694	252472	2244929	39500
"C1"	49733760	1487038	201990	1732852	42655
"C20"	59078002	2892713	187815	2181676	38614
"C2"	49097652	1614785	278237	1943902	63561
"C3"	54588934	1689170	237097	1961845	52706
"C4"	58257197	1515680	207132	2030400	37255
"C5"	47171576	1503971	188749	1713310	40432
"C6"	46324993	1458880	171866	1657863	29782
"C7"	42264384	1301973	213887	1453682	45286
"C8"	46499352	1483106	183725	1336995	34663
"C9"	54849671	1697834	207554	1729925	35185
"N10"	38725628	1035205	139413	1219606	24722
"N11"	54273481	1917835	150069	2445437	35356
"N12"	52240529	2960134	144059	2146872	34534
"N13"	49652492	2739202	169060	2041735	38317
"N14"	55599116	2274354	183664	1287880	41545
"N15"	55547570	2343858	180672	2451887	36414
"N16"	50102567	1369359	139724	2146314	32275
"N17"	50383592	1758938	159303	2083624	38082
"N18"	62762556	2366330	206769	2778293	47667
"N19"	52451745	1608947	192380	1605909	44764
"N1"	47045842	1268828	169446	1488527	25059
"N20"	54863540	1761910	176084	2716982	35750
"N2"	46920445	1477856	174063	1448577	30074
"N3"	40225740	1191226	158790	1379716	34385
"N4"	48325956	1487931	200583	1717134	41377
"N5"	41828389	1084502	142203	1487389	22333
"N6"	44398310	1240998	189503	1389438	28356
"N7"	41278090	1199751	177851	1358533	30776
"N8"	38279398	1146577	171831	1265705	32663
"N9"	40721482	1177163	194971	1371001	39171
