Proprotion	GeneNum	ID
0.01	3109	C10
0.05	8080	C10
0.10	9513	C10
0.25	11026	C10
0.50	12033	C10
0.75	12631	C10
0.90	12917	C10
1.00	13210	C10
0.01	1956	C11
0.05	5878	C11
0.10	7744	C11
0.25	9701	C11
0.50	10842	C11
0.75	11463	C11
0.90	11744	C11
1.00	12007	C11
0.01	1845	C12
0.05	5794	C12
0.10	7698	C12
0.25	9541	C12
0.50	10655	C12
0.75	11271	C12
0.90	11533	C12
1.00	11796	C12
0.01	1791	C13
0.05	5625	C13
0.10	7434	C13
0.25	9408	C13
0.50	10571	C13
0.75	11205	C13
0.90	11473	C13
1.00	11737	C13
0.01	1714	C14
0.05	5279	C14
0.10	7230	C14
0.25	9313	C14
0.50	10492	C14
0.75	11131	C14
0.90	11390	C14
1.00	11646	C14
0.01	1880	C15
0.05	5585	C15
0.10	7433	C15
0.25	9423	C15
0.50	10634	C15
0.75	11256	C15
0.90	11538	C15
1.00	11794	C15
0.01	1385	C16
0.05	4674	C16
0.10	6577	C16
0.25	8801	C16
0.50	10105	C16
0.75	10770	C16
0.90	11067	C16
1.00	11317	C16
0.01	1788	C17
0.05	5830	C17
0.10	7686	C17
0.25	9559	C17
0.50	10720	C17
0.75	11352	C17
0.90	11622	C17
1.00	11876	C17
0.01	1644	C18
0.05	5365	C18
0.10	7273	C18
0.25	9235	C18
0.50	10413	C18
0.75	11080	C18
0.90	11360	C18
1.00	11607	C18
0.01	1645	C19
0.05	5582	C19
0.10	7564	C19
0.25	9589	C19
0.50	10785	C19
0.75	11432	C19
0.90	11725	C19
1.00	11995	C19
0.01	3435	C1
0.05	8355	C1
0.10	9774	C1
0.25	11286	C1
0.50	12348	C1
0.75	13022	C1
0.90	13313	C1
1.00	13625	C1
0.01	1576	C20
0.05	5236	C20
0.10	7192	C20
0.25	9270	C20
0.50	10480	C20
0.75	11124	C20
0.90	11391	C20
1.00	11637	C20
0.01	3555	C2
0.05	8406	C2
0.10	9696	C2
0.25	11134	C2
0.50	12199	C2
0.75	12794	C2
0.90	13089	C2
1.00	13371	C2
0.01	4191	C3
0.05	8847	C3
0.10	10119	C3
0.25	11517	C3
0.50	12575	C3
0.75	13172	C3
0.90	13510	C3
1.00	13809	C3
0.01	4102	C4
0.05	8694	C4
0.10	10012	C4
0.25	11510	C4
0.50	12573	C4
0.75	13224	C4
0.90	13514	C4
1.00	13798	C4
0.01	3320	C5
0.05	8207	C5
0.10	9633	C5
0.25	11153	C5
0.50	12250	C5
0.75	12911	C5
0.90	13206	C5
1.00	13488	C5
0.01	2985	C6
0.05	7799	C6
0.10	9391	C6
0.25	10889	C6
0.50	11946	C6
0.75	12582	C6
0.90	12862	C6
1.00	13142	C6
0.01	2930	C7
0.05	7878	C7
0.10	9398	C7
0.25	10866	C7
0.50	11880	C7
0.75	12484	C7
0.90	12762	C7
1.00	13023	C7
0.01	3129	C8
0.05	7998	C8
0.10	9462	C8
0.25	10986	C8
0.50	12009	C8
0.75	12597	C8
0.90	12862	C8
1.00	13110	C8
0.01	3354	C9
0.05	8187	C9
0.10	9669	C9
0.25	11159	C9
0.50	12236	C9
0.75	12801	C9
0.90	13106	C9
1.00	13354	C9
0.01	2848	N10
0.05	7655	N10
0.10	9220	N10
0.25	10785	N10
0.50	11823	N10
0.75	12380	N10
0.90	12656	N10
1.00	12918	N10
0.01	1335	N11
0.05	4482	N11
0.10	6380	N11
0.25	8605	N11
0.50	9907	N11
0.75	10568	N11
0.90	10856	N11
1.00	11098	N11
0.01	1290	N12
0.05	4385	N12
0.10	6241	N12
0.25	8541	N12
0.50	9855	N12
0.75	10534	N12
0.90	10820	N12
1.00	11078	N12
0.01	1280	N13
0.05	4536	N13
0.10	6468	N13
0.25	8707	N13
0.50	9993	N13
0.75	10679	N13
0.90	10991	N13
1.00	11245	N13
0.01	1487	N14
0.05	5110	N14
0.10	7078	N14
0.25	9213	N14
0.50	10345	N14
0.75	10977	N14
0.90	11254	N14
1.00	11503	N14
0.01	1396	N15
0.05	4702	N15
0.10	6605	N15
0.25	8792	N15
0.50	10085	N15
0.75	10758	N15
0.90	11038	N15
1.00	11265	N15
0.01	974	N16
0.05	3756	N16
0.10	5695	N16
0.25	8142	N16
0.50	9593	N16
0.75	10268	N16
0.90	10543	N16
1.00	10800	N16
0.01	1271	N17
0.05	4551	N17
0.10	6494	N17
0.25	8755	N17
0.50	10062	N17
0.75	10639	N17
0.90	10932	N17
1.00	11192	N17
0.01	1501	N18
0.05	5086	N18
0.10	7043	N18
0.25	9137	N18
0.50	10415	N18
0.75	11055	N18
0.90	11320	N18
1.00	11570	N18
0.01	1474	N19
0.05	5314	N19
0.10	7342	N19
0.25	9352	N19
0.50	10515	N19
0.75	11149	N19
0.90	11411	N19
1.00	11642	N19
0.01	3352	N1
0.05	8101	N1
0.10	9546	N1
0.25	11041	N1
0.50	12113	N1
0.75	12725	N1
0.90	12997	N1
1.00	13285	N1
0.01	1630	N20
0.05	5211	N20
0.10	7123	N20
0.25	9196	N20
0.50	10420	N20
0.75	11047	N20
0.90	11318	N20
1.00	11570	N20
0.01	3458	N2
0.05	8251	N2
0.10	9703	N2
0.25	11223	N2
