Per,Num,Sample,batch,ReadsM,Assay
0,0,A1,A,0,Input
0.01,1719,A1,A,0.086,Input
0.05,6663,A1,A,0.431,Input
0.1,8826,A1,A,0.862,Input
0.25,11223,A1,A,2.155,Input
0.5,12901,A1,A,4.309,Input
0.75,13873,A1,A,6.464,Input
0.9,14386,A1,A,7.756,Input
1,14667,A1,A,8.618,Input
0,0,A10,A,0,Enrich
0.01,1450,A10,A,0.074,Enrich
0.05,6071,A10,A,0.37,Enrich
0.1,8431,A10,A,0.74,Enrich
0.25,10946,A10,A,1.849,Enrich
0.5,12686,A10,A,3.698,Enrich
0.75,13734,A10,A,5.547,Enrich
0.9,14195,A10,A,6.657,Enrich
1,14495,A10,A,7.397,Enrich
0,0,A11,A,0,Enrich
0.01,1343,A11,A,0.079,Enrich
0.05,5948,A11,A,0.393,Enrich
0.1,8305,A11,A,0.787,Enrich
0.25,10811,A11,A,1.967,Enrich
0.5,12481,A11,A,3.933,Enrich
0.75,13486,A11,A,5.9,Enrich
0.9,13968,A11,A,7.08,Enrich
1,14249,A11,A,7.866,Enrich
0,0,A12,A,0,Enrich
0.01,744,A12,A,0.045,Enrich
0.05,4092,A12,A,0.224,Enrich
0.1,6524,A12,A,0.448,Enrich
0.25,9411,A12,A,1.12,Enrich
0.5,11240,A12,A,2.241,Enrich
0.75,12217,A12,A,3.361,Enrich
0.9,12657,A12,A,4.033,Enrich
1,12908,A12,A,4.481,Enrich
0,0,A13,A,0,Enrich
0.01,468,A13,A,0.059,Enrich
0.05,2661,A13,A,0.293,Enrich
0.1,4615,A13,A,0.585,Enrich
0.25,7637,A13,A,1.463,Enrich
0.5,9748,A13,A,2.926,Enrich
0.75,10830,A13,A,4.389,Enrich
0.9,11312,A13,A,5.267,Enrich
1,11576,A13,A,5.852,Enrich
0,0,A14,A,0,Enrich
0.01,1168,A14,A,0.075,Enrich
0.05,5476,A14,A,0.375,Enrich
0.1,7815,A14,A,0.751,Enrich
0.25,10421,A14,A,1.877,Enrich
0.5,12124,A14,A,3.754,Enrich
0.75,13127,A14,A,5.632,Enrich
0.9,13637,A14,A,6.758,Enrich
1,13905,A14,A,7.509,Enrich
0,0,A15,A,0,Enrich
0.01,1200,A15,A,0.078,Enrich
0.05,5617,A15,A,0.391,Enrich
0.1,7976,A15,A,0.782,Enrich
0.25,10508,A15,A,1.955,Enrich
0.5,12127,A15,A,3.911,Enrich
0.75,13067,A15,A,5.866,Enrich
0.9,13534,A15,A,7.039,Enrich
1,13803,A15,A,7.821,Enrich
0,0,A16,A,0,Enrich
0.01,1236,A16,A,0.074,Enrich
0.05,5380,A16,A,0.37,Enrich
0.1,7642,A16,A,0.74,Enrich
0.25,10341,A16,A,1.85,Enrich
0.5,12003,A16,A,3.7,Enrich
0.75,13002,A16,A,5.551,Enrich
0.9,13463,A16,A,6.661,Enrich
1,13774,A16,A,7.401,Enrich
0,0,A17,A,0,Enrich
0.01,1340,A17,A,0.067,Enrich
0.05,5962,A17,A,0.334,Enrich
0.1,8257,A17,A,0.668,Enrich
0.25,10734,A17,A,1.671,Enrich
0.5,12418,A17,A,3.342,Enrich
0.75,13437,A17,A,5.013,Enrich
0.9,13909,A17,A,6.016,Enrich
1,14182,A17,A,6.685,Enrich
0,0,A18,A,0,Enrich
0.01,1375,A18,A,0.089,Enrich
0.05,6004,A18,A,0.444,Enrich
0.1,8352,A18,A,0.888,Enrich
0.25,10845,A18,A,2.221,Enrich
0.5,12495,A18,A,4.442,Enrich
0.75,13484,A18,A,6.663,Enrich
0.9,13972,A18,A,7.995,Enrich
1,14258,A18,A,8.884,Enrich
0,0,A2,A,0,Input
0.01,1451,A2,A,0.074,Input
0.05,6098,A2,A,0.369,Input
0.1,8404,A2,A,0.738,Input
0.25,10848,A2,A,1.845,Input
0.5,12544,A2,A,3.689,Input
0.75,13554,A2,A,5.534,Input
0.9,14043,A2,A,6.641,Input
1,14314,A2,A,7.379,Input
0,0,A3,A,0,Input
0.01,929,A3,A,0.05,Input
0.05,4846,A3,A,0.248,Input
0.1,7192,A3,A,0.497,Input
0.25,9971,A3,A,1.242,Input
0.5,11671,A3,A,2.485,Input
0.75,12635,A3,A,3.727,Input
0.9,13046,A3,A,4.473,Input
1,13314,A3,A,4.97,Input
0,0,A4,A,0,Input
0.01,598,A4,A,0.047,Input
0.05,3276,A4,A,0.234,Input
0.1,5445,A4,A,0.469,Input
0.25,8380,A4,A,1.172,Input
0.5,10255,A4,A,2.344,Input
0.75,11231,A4,A,3.516,Input
0.9,11680,A4,A,4.219,Input
1,11905,A4,A,4.688,Input
0,0,A5,A,0,Input
0.01,1269,A5,A,0.07,Input
0.05,5817,A5,A,0.349,Input
0.1,8112,A5,A,0.698,Input
0.25,10648,A5,A,1.745,Input
0.5,12315,A5,A,3.489,Input
0.75,13325,A5,A,5.234,Input
0.9,13781,A5,A,6.281,Input
1,14051,A5,A,6.979,Input
0,0,A6,A,0,Input
0.01,1350,A6,A,0.072,Input
0.05,6052,A6,A,0.358,Input
0.1,8270,A6,A,0.715,Input
0.25,10767,A6,A,1.789,Input
0.5,12299,A6,A,3.577,Input
0.75,13224,A6,A,5.366,Input
0.9,13640,A6,A,6.439,Input
1,13911,A6,A,7.154,Input
0,0,A7,A,0,Input
0.01,1215,A7,A,0.065,Input
0.05,5330,A7,A,0.324,Input
0.1,7541,A7,A,0.648,Input
0.25,10147,A7,A,1.619,Input
0.5,11825,A7,A,3.239,Input
0.75,12789,A7,A,4.858,Input
0.9,13182,A7,A,5.83,Input
1,13444,A7,A,6.478,Input
0,0,A8,A,0,Input
0.01,1521,A8,A,0.074,Input
0.05,6390,A8,A,0.372,Input
0.1,8641,A8,A,0.744,Input
0.25,10983,A8,A,1.86,Input
0.5,12554,A8,A,3.72,Input
0.75,13543,A8,A,5.58,Input
0.9,13984,A8,A,6.696,Input
1,14265,A8,A,7.44,Input
0,0,A9,A,0,Input
0.01,1370,A9,A,0.073,Input
0.05,6075,A9,A,0.363,Input
0.1,8388,A9,A,0.726,Input
0.25,10874,A9,A,1.815,Input
0.5,12521,A9,A,3.63,Input
0.75,13580,A9,A,5.445,Input
0.9,14053,A9,A,6.534,Input
1,14291,A9,A,7.26,Input
0,0,B1,B,0,Input
0.01,657,B1,B,0.04,Input
0.05,3984,B1,B,0.201,Input
0.1,6352,B1,B,0.402,Input
0.25,9196,B1,B,1.006,Input
0.5,10983,B1,B,2.012,Input
0.75,11958,B1,B,3.018,Input
0.9,12336,B1,B,3.622,Input
1,12570,B1,B,4.025,Input
0,0,B10,B,0,Input
0.01,974,B10,B,0.052,Input
0.05,5083,B10,B,0.258,Input
0.1,7392,B10,B,0.517,Input
0.25,9977,B10,B,1.292,Input
0.5,11572,B10,B,2.584,Input
0.75,12494,B10,B,3.876,Input
0.9,12905,B10,B,4.651,Input
1,13150,B10,B,5.168,Input
0,0,B11,B,0,Input
0.01,1032,B11,B,0.058,Input
0.05,5325,B11,B,0.289,Input
0.1,7646,B11,B,0.577,Input
0.25,10298,B11,B,1.444,Input
0.5,11845,B11,B,2.887,Input
0.75,12728,B11,B,4.331,Input
0.9,13162,B11,B,5.197,Input
1,13389,B11,B,5.774,Input
0,0,B12,B,0,Input
0.01,1141,B12,B,0.06,Input
0.05,5533,B12,B,0.301,Input
0.1,7858,B12,B,0.603,Input
0.25,10382,B12,B,1.507,Input
0.5,11949,B12,B,3.013,Input
0.75,12873,B12,B,4.52,Input
0.9,13317,B12,B,5.424,Input
1,13545,B12,B,6.027,Input
0,0,B13,B,0,Enrich
0.01,532,B13,B,0.034,Enrich
0.05,3100,B13,B,0.169,Enrich
0.1,5326,B13,B,0.337,Enrich
0.25,8323,B13,B,0.843,Enrich
0.5,10296,B13,B,1.687,Enrich
0.75,11297,B13,B,2.53,Enrich
0.9,11723,B13,B,3.036,Enrich
1,11984,B13,B,3.373,Enrich
0,0,B14,B,0,Enrich
0.01,802,B14,B,0.049,Enrich
0.05,4247,B14,B,0.246,Enrich
0.1,6561,B14,B,0.491,Enrich
0.25,9315,B14,B,1.229,Enrich
0.5,11087,B14,B,2.457,Enrich
0.75,12000,B14,B,3.686,Enrich
0.9,12424,B14,B,4.423,Enrich
1,12691,B14,B,4.915,Enrich
0,0,B15,B,0,Enrich
0.01,547,B15,B,0.037,Enrich
0.05,3449,B15,B,0.185,Enrich
0.1,5719,B15,B,0.37,Enrich
0.25,8713,B15,B,0.926,Enrich
0.5,10616,B15,B,1.852,Enrich
0.75,11605,B15,B,2.777,Enrich
0.9,12036,B15,B,3.333,Enrich
1,12306,B15,B,3.703,Enrich
0,0,B17,B,0,Enrich
0.01,977,B17,B,0.052,Enrich
0.05,4971,B17,B,0.259,Enrich
0.1,7332,B17,B,0.519,Enrich
0.25,10006,B17,B,1.297,Enrich
0.5,11634,B17,B,2.593,Enrich
0.75,12553,B17,B,3.89,Enrich
0.9,12973,B17,B,4.668,Enrich
1,13252,B17,B,5.187,Enrich
0,0,B18,B,0,Enrich
0.01,802,B18,B,0.048,Enrich
0.05,4483,B18,B,0.242,Enrich
0.1,6773,B18,B,0.484,Enrich
0.25,9580,B18,B,1.211,Enrich
0.5,11282,B18,B,2.422,Enrich
0.75,12214,B18,B,3.632,Enrich
0.9,12637,B18,B,4.359,Enrich
1,12897,B18,B,4.843,Enrich
0,0,B19,B,0,Enrich
0.01,602,B19,B,0.047,Enrich
0.05,3717,B19,B,0.236,Enrich
0.1,6076,B19,B,0.471,Enrich
0.25,9012,B19,B,1.178,Enrich
0.5,10969,B19,B,2.356,Enrich
0.75,11925,B19,B,3.534,Enrich
0.9,12395,B19,B,4.24,Enrich
1,12648,B19,B,4.712,Enrich
0,0,B2,B,0,Input
0.01,1059,B2,B,0.057,Input
0.05,5180,B2,B,0.285,Input
0.1,7508,B2,B,0.571,Input
0.25,10089,B2,B,1.427,Input
0.5,11706,B2,B,2.853,Input
0.75,12663,B2,B,4.28,Input
0.9,13068,B2,B,5.136,Input
1,13307,B2,B,5.706,Input
0,0,B20,B,0,Enrich
0.01,689,B20,B,0.042,Enrich
0.05,3935,B20,B,0.208,Enrich
0.1,6259,B20,B,0.417,Enrich
0.25,9207,B20,B,1.042,Enrich
0.5,11071,B20,B,2.083,Enrich
0.75,11988,B20,B,3.125,Enrich
0.9,12423,B20,B,3.75,Enrich
1,12639,B20,B,4.166,Enrich
0,0,B21,B,0,Enrich
0.01,769,B21,B,0.044,Enrich
0.05,4240,B21,B,0.221,Enrich
0.1,6629,B21,B,0.443,Enrich
0.25,9485,B21,B,1.107,Enrich
0.5,11230,B21,B,2.213,Enrich
0.75,12247,B21,B,3.32,Enrich
0.9,12678,B21,B,3.984,Enrich
1,12925,B21,B,4.427,Enrich
0,0,B22,B,0,Enrich
0.01,711,B22,B,0.042,Enrich
0.05,4123,B22,B,0.21,Enrich
0.1,6445,B22,B,0.42,Enrich
0.25,9285,B22,B,1.051,Enrich
0.5,10997,B22,B,2.102,Enrich
0.75,11913,B22,B,3.153,Enrich
0.9,12313,B22,B,3.784,Enrich
1,12571,B22,B,4.205,Enrich
0,0,B23,B,0,Enrich
0.01,915,B23,B,0.057,Enrich
0.05,4869,B23,B,0.286,Enrich
0.1,7204,B23,B,0.572,Enrich
0.25,9933,B23,B,1.431,Enrich
0.5,11548,B23,B,2.862,Enrich
0.75,12410,B23,B,4.293,Enrich
0.9,12847,B23,B,5.151,Enrich
1,13108,B23,B,5.724,Enrich
0,0,B24,B,0,Enrich
0.01,874,B24,B,0.051,Enrich
0.05,4593,B24,B,0.253,Enrich
0.1,6904,B24,B,0.506,Enrich
0.25,9653,B24,B,1.265,Enrich
0.5,11373,B24,B,2.53,Enrich
0.75,12287,B24,B,3.795,Enrich
0.9,12667,B24,B,4.555,Enrich
1,12913,B24,B,5.061,Enrich
0,0,B3,B,0,Input
0.01,782,B3,B,0.045,Input
0.05,4555,B3,B,0.226,Input
0.1,6954,B3,B,0.452,Input
0.25,9746,B3,B,1.131,Input
0.5,11499,B3,B,2.261,Input
0.75,12451,B3,B,3.392,Input
0.9,12906,B3,B,4.07,Input
1,13139,B3,B,4.523,Input
0,0,B5,B,0,Input
0.01,1085,B5,B,0.056,Input
0.05,5395,B5,B,0.278,Input
0.1,7707,B5,B,0.557,Input
0.25,10329,B5,B,1.392,Input
0.5,11983,B5,B,2.783,Input
0.75,12896,B5,B,4.175,Input
0.9,13349,B5,B,5.01,Input
1,13581,B5,B,5.567,Input
0,0,B6,B,0,Input
0.01,1061,B6,B,0.057,Input
0.05,5303,B6,B,0.286,Input
0.1,7657,B6,B,0.572,Input
0.25,10266,B6,B,1.431,Input
0.5,11896,B6,B,2.862,Input
0.75,12870,B6,B,4.293,Input
0.9,13315,B6,B,5.151,Input
1,13527,B6,B,5.724,Input
0,0,B7,B,0,Input
0.01,899,B7,B,0.054,Input
0.05,4873,B7,B,0.269,Input
0.1,7301,B7,B,0.538,Input
0.25,10002,B7,B,1.344,Input
0.5,11725,B7,B,2.689,Input
0.75,12675,B7,B,4.033,Input
0.9,13122,B7,B,4.84,Input
1,13377,B7,B,5.378,Input
0,0,B8,B,0,Input
0.01,1305,B8,B,0.067,Input
0.05,5808,B8,B,0.333,Input
0.1,8086,B8,B,0.665,Input
0.25,10690,B8,B,1.663,Input
0.5,12301,B8,B,3.326,Input
0.75,13228,B8,B,4.988,Input
0.9,13698,B8,B,5.986,Input
1,13941,B8,B,6.651,Input
0,0,B9,B,0,Input
0.01,1677,B9,B,0.078,Input
